"ID","AVAM_CODE_OLD","AVAM_CODE_NEW","BFS_CODE_NEW","CHISCO3_CODE","CHISCO5_CODE","DESCRIPTION"
"a62eaa85-2e7e-41ea-b8b3-bc2b15f108fe","63204","101500","51103166","311","31130","Techniker, Elektrotechnik"
"a68b679b-e386-4d3e-a5aa-645ec45c3f37","63910","101502","51102503","311","31140","Techniker, Elektronik"
"febfdb0d-7979-447f-9b8b-69aafa579f91","61416","101502","51102503","311","31140","Techniker, Elektronik"
"2d5f1772-0033-4dd0-9c8e-1d83ffca8eb3","63300","101502","51102503","311","31140","Techniker, Elektronik"
"2b0f9001-329a-4f11-9323-0955899e5851","63301","101502","51102503","311","31140","Techniker, Elektronik"
"fa73642c-c841-4549-9b5f-cb20d9d41805","46616","101504","51102365","311","31151","Konstrukteur"
"52966b64-4e83-4c92-931d-733cc73e58c2","64401","101504","51102365","311","31151","Konstrukteur"
"fbc08151-a27b-4b6f-81e0-27a82bd357cc","65002","101504","51102365","311","31151","Konstrukteur"
"27b3ee57-3c32-472d-878e-bbfb00c7569f","65016","101504","51102365","311","31151","Konstrukteur"
"1db42ad1-b291-4720-8085-295099cfed3b","65020","101504","51102365","311","31151","Konstrukteur"
"6ddb221f-8636-4cb6-94f7-ba7f7426e0a2","61419","101504","51102365","311","31151","Konstrukteur"
"e32f9511-73c7-4e99-ad8f-03e0ab59abc7","15033","101504","51102365","311","31151","Konstrukteur"
"e336c994-b983-4bb6-ac45-a4d98300f5b9","64201","101504","51102365","311","31151","Konstrukteur"
"b7123cbb-647a-49ba-8863-2f99bc2487c8","64203","101504","51102365","311","31151","Konstrukteur"
"ccce29ef-d182-4069-b7e8-708889622664","64202","101504","51102365","311","31151","Konstrukteur"
"52341207-6554-4327-8617-79831d8aa2a6","64206","101504","51102365","311","31151","Konstrukteur"
"db5ab5e1-3b28-4a17-9a7a-4844022e3f37","65502","101504","51102365","311","31151","Konstrukteur"
"d2ce46c7-4543-496c-8053-18f2dd1d5ba8","65505","101504","51102365","311","31151","Konstrukteur"
"9ffbfdea-a3b4-4194-87b6-a3022385fea9","65507","101504","51102365","311","31151","Konstrukteur"
"ac0f7105-8087-452e-be64-6056962b8bb2","63700","101505","51102371","311","31151","Techniker, Mikrotechnik"
